%  columns="iteration, evaluation, void, void, void, xmean" (startseed=214675, 2023/10/9 16:50:38.76)
291 2620 0 0 0 4.580970e+00 2.147355e+02 9.486857e+01 1.007630e+01 
292 2629 0 0 0 4.580971e+00 2.147355e+02 9.486857e+01 1.007630e+01 
293 2638 0 0 0 4.580970e+00 2.147355e+02 9.486857e+01 1.007630e+01 
294 2647 0 0 0 4.580970e+00 2.147355e+02 9.486857e+01 1.007630e+01 
295 2656 0 0 0 4.580970e+00 2.147355e+02 9.486857e+01 1.007630e+01 
296 2665 0 0 0 4.580970e+00 2.147355e+02 9.486857e+01 1.007630e+01 
297 2674 0 0 0 4.580970e+00 2.147355e+02 9.486857e+01 1.007630e+01 
298 2683 0 0 0 4.580971e+00 2.147355e+02 9.486857e+01 1.007630e+01 
299 2692 0 0 0 4.580970e+00 2.147355e+02 9.486857e+01 1.007630e+01 
300 2701 0 0 0 4.580970e+00 2.147355e+02 9.486857e+01 1.007630e+01 
301 2710 0 0 0 4.580970e+00 2.147355e+02 9.486857e+01 1.007630e+01 
302 2719 0 0 0 4.580971e+00 2.147355e+02 9.486857e+01 1.007630e+01 
303 2728 0 0 0 4.580971e+00 2.147355e+02 9.486857e+01 1.007630e+01 
304 2737 0 0 0 4.580970e+00 2.147355e+02 9.486857e+01 1.007630e+01 
305 2746 0 0 0 4.580971e+00 2.147355e+02 9.486857e+01 1.007630e+01 
306 2755 0 0 0 4.580971e+00 2.147355e+02 9.486857e+01 1.007630e+01 
307 2764 0 0 0 4.580971e+00 2.147355e+02 9.486857e+01 1.007630e+01 
308 2773 0 0 0 4.580971e+00 2.147355e+02 9.486857e+01 1.007630e+01 
309 2782 0 0 0 4.580971e+00 2.147355e+02 9.486857e+01 1.007630e+01 
310 2791 0 0 0 4.580971e+00 2.147355e+02 9.486857e+01 1.007630e+01 
311 2800 0 0 0 4.580971e+00 2.147355e+02 9.486857e+01 1.007630e+01 
312 2809 0 0 0 4.580971e+00 2.147355e+02 9.486857e+01 1.007630e+01 
313 2818 0 0 0 4.580971e+00 2.147355e+02 9.486857e+01 1.007630e+01 
314 2827 0 0 0 4.580971e+00 2.147355e+02 9.486857e+01 1.007630e+01 
315 2836 0 0 0 4.580971e+00 2.147355e+02 9.486857e+01 1.007630e+01 
316 2845 0 0 0 4.580971e+00 2.147355e+02 9.486857e+01 1.007630e+01 
