%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=214675, 2023/10/9 16:50:38.76)
90 811 2.957148e+00 0 0 1.055570e-02 1.522681e-01 1.829413e-01 1.463372e-02 
91 820 2.902597e+00 0 0 1.000432e-02 1.604383e-01 1.802409e-01 1.538611e-02 
92 829 2.470005e+00 0 0 8.054611e-03 1.380307e-01 1.576395e-01 1.327275e-02 
93 838 2.276081e+00 0 0 7.452586e-03 1.199378e-01 1.374697e-01 1.153426e-02 
94 847 2.138735e+00 0 0 6.657510e-03 1.129822e-01 1.271825e-01 1.059972e-02 
95 856 1.996510e+00 0 0 6.221720e-03 9.987794e-02 1.152627e-01 9.395950e-03 
96 865 2.073364e+00 0 0 6.407725e-03 1.033766e-01 1.163229e-01 9.361804e-03 
97 874 2.139859e+00 0 0 6.277829e-03 1.127729e-01 1.189955e-01 9.335622e-03 
98 883 1.724981e+00 0 0 4.872009e-03 8.792664e-02 9.337183e-02 7.167945e-03 
99 892 1.416424e+00 0 0 3.855703e-03 6.896559e-02 7.441455e-02 5.702150e-03 
100 901 1.362593e+00 0 0 3.723881e-03 6.548297e-02 6.787800e-02 5.212027e-03 
101 910 1.136254e+00 0 0 2.971012e-03 5.239433e-02 5.378059e-02 4.173223e-03 
102 919 1.076379e+00 0 0 2.678623e-03 5.055320e-02 4.956480e-02 3.742095e-03 
103 928 1.173765e+00 0 0 2.867919e-03 6.454351e-02 6.025057e-02 4.403392e-03 
104 937 1.033662e+00 0 0 2.431760e-03 5.435470e-02 5.127677e-02 3.691618e-03 
105 946 8.504668e-01 0 0 1.915411e-03 4.243436e-02 4.004390e-02 2.886689e-03 
106 955 8.621564e-01 0 0 2.084139e-03 4.051882e-02 3.847499e-02 2.780561e-03 
107 964 7.295477e-01 0 0 1.678243e-03 3.347140e-02 3.125311e-02 2.274030e-03 
108 973 6.730048e-01 0 0 1.478917e-03 2.927747e-02 2.811459e-02 1.988087e-03 
109 982 6.170982e-01 0 0 1.306585e-03 2.649747e-02 2.493284e-02 1.719815e-03 
110 991 5.745386e-01 0 0 1.148093e-03 2.489707e-02 2.239735e-02 1.532321e-03 
111 1000 6.294829e-01 0 0 1.235762e-03 2.774698e-02 2.339270e-02 1.639318e-03 
112 1009 6.234608e-01 0 0 1.171787e-03 2.817526e-02 2.489357e-02 1.628474e-03 
113 1018 6.495079e-01 0 0 1.186504e-03 3.264729e-02 2.880395e-02 1.829247e-03 
114 1027 6.753828e-01 0 0 1.253199e-03 3.443073e-02 3.105464e-02 2.002387e-03 
115 1036 5.623509e-01 0 0 1.017554e-03 2.774505e-02 2.507259e-02 1.593115e-03 
116 1045 5.126404e-01 0 0 8.858787e-04 2.482051e-02 2.309734e-02 1.409408e-03 
117 1054 4.512893e-01 0 0 7.347732e-04 2.146717e-02 1.983297e-02 1.208369e-03 
118 1063 4.010031e-01 0 0 6.181936e-04 1.853527e-02 1.698968e-02 1.029099e-03 
